key_words,facts,image
метро,"Казань — единственный город России, в котором после распада СССР был построен метрополитен. Сегодня является одной из самых красивых подземок страны.",https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B8%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_(%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D1%8F_%D0%BC%D0%B5%D1%82%D1%80%D0%BE)#/media/%D0%A4%D0%B0%D0%B9%D0%BB:Aviatozelesh_qazan_metro.jpg
метро,Метро Казани занесено в Книгу рекордов Гиннеса. Это самое короткое метро в мире. От начала до конца его можно проехать за 10 минут.,https://www.tourprom.ru/site_media/images/upload/2015/10/26/poiphoto/1f66d2ffc1e1_1.jpg
метро,"Первыми официальными пассажирами Казанского метро стали президенты России, Казахстана и Татарстана — Владимир Путин, Нурсултан Назарбаев и Минтимер Шаймиев.",http://static.kremlin.ru/media/events/photos/big2x/0AxIRQzCbsQ5U0AnD8JjDgBrq95SY47u.jpeg
автобус,Казань называют «Городом красных автобусов».,https://realnoevremya.ru/uploads/news/b7/26/5ab224d9089f2be8.jpg
Кремль,«Казанский кремль» является объектом всемирного наследия ЮНЕСКО.,https://fs.tonkosti.ru/3i/ky/3ikye9pbw0ys4o804ss00c88g.jpg
население,В столице Татарстана слились две культуры: почти в равном соотношении: там проживают два крупнейших российских этноса — русские и татары.,https://s017.radikal.ru/i400/1605/ee/b210f9c263f2.jpg
население,"В Казани проживают представители 115 национальностей, что делает ее самым многонациональным городом России. 
",https://s009.radikal.ru/i307/1605/c1/b2696707b5fe.jpg
"Коронованный дракон Зилант, герб","Своё имя дракон Зилант получил от татарского слова елан-джилан (змея). Это имя связано с основанием Казани на месте, где по легенде обитал крылатый змей-дракон.
",https://realnoevremya.ru/uploads/article/87/2a/1a8d00ddbcc70af6.jpg
"Коронованный дракон Зилант, герб",Согласно древней легенде дракон Зилант находится в озере Кабан и охраняет ханские сокровища царицы Сююмбике.,https://cs9.pikabu.ru/post_img/big/2019/05/02/12/1556830001160417986.jpg
Остров-град Свияжск ,"Город-крепость Свияжск на острове в 30 км от Казани, был построен в 1551 году войсками Ивана Грозного всего за 4 недели.",https://vodohod.com/upload/resize_cache/iblock/d62/1460_630_2/d629f87dce3400a13bad1f2fa9c56827.jpg
«сирота казанская» ,"Иван Грозный решил наладить отношения с зажиточными и влиятельными татарами. Многие из них, дабы получить от царя больше, плакались и придумывали истории о невероятном ущербе для собственного хозяйства, нанесенного русской армией.",http://mtdata.ru/u9/photoBE2A/20376109042-0/original.jpg
Казань,"Екатерина II, посетившая Казань в 1767 году, в одном из своих писем отметила: «Сей город бесспорно первый в России после Москвы... во всем видно, что Казань столица большого царства».",https://tatmitropolia.ru/www/news2015/5/225_595.jpg
Казань,"Колдун посоветовал булгарам построить город там, где без всякого огня будет кипеть врытый в землю котёл с водой. Подобное место было найдено на берегу озера Кабан. На татарском «котёл» назывался «казан». Так пошло имя города Казань.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/CasanTartarorum_by_Olearius.jpg/300px-CasanTartarorum_by_Olearius.jpg
Казань,"Казань основывалась как крепость для обороны границ Булгарского ханства. Для этого нашли место на высоком холме, окружённом с трёх сторон болотами, а с четвёртой — рекой. Сравнивая расположение крепости с Казаном (котёл для плова).",https://kpfu.ru/portal/docs/F406544107/muzurovskie.nomera.jpg
Казань,"Алтынбек, старший сын булгарского хана Габдуллы, как-то решил разбить стоянку на берегу неизвестной реки. Он послал слугу за водой с золотым котлом. Слуга уронил котёл в воду. Этот случай и дал название реке Казанке, а впоследствии и городу на её берегу.",https://e-kazan.ru/upload/redactor/images/b7ac98e4d49282078441d6d88dce8bbe.jpg
Казань,"Огромное культурное, историческое и природное богатство Татарстана стало основой республиканской туристской программы «Жемчужное ожерелье». Это привлекает в республику массу туристов даже из зарубежных стран.",https://kudabilet.net/wp-content/uploads/2020/11/vecher-vid-na-kazan.jpg
